,index,val_sessions,val_total_power,val_power_median
9318,2019-05-18 14:24:39+00:00,1.0,0.08606027594457764,0.08606027594457764
9319,2019-05-18 15:24:39+00:00,3.0,9.135031040184668,2.3667096774193546
9320,2019-05-18 16:24:39+00:00,4.0,10.027411315502965,1.6295449763688254
9321,2019-05-18 17:24:39+00:00,3.0,3.3451502286822286,0.8923802753182963
9322,2019-05-18 18:24:39+00:00,5.0,9.294092441064567,1.224074074074074
9323,2019-05-18 19:24:39+00:00,5.0,9.294092441064567,1.224074074074074
9324,2019-05-18 20:24:39+00:00,5.0,10.672623175282984,1.695228106974305
9325,2019-05-18 21:24:39+00:00,5.0,4.807325671380191,0.31914631643751284
9326,2019-05-18 22:24:39+00:00,4.0,1.5332392926426501,0.27739937068988807
9327,2019-05-18 23:24:39+00:00,5.0,2.517411954513154,0.31914631643751284
9328,2019-05-19 00:24:39+00:00,3.0,1.3058853627573446,0.2356524249422633
9329,2019-05-19 01:24:39+00:00,2.0,3.2582705763737616,1.6291352881868808
9330,2019-05-19 02:24:39+00:00,2.0,6.9351359061966775,3.4675679530983388
9331,2019-05-19 03:24:39+00:00,2.0,6.884906291090629,3.4424531455453145
9332,2019-05-19 04:24:39+00:00,2.0,6.884906291090629,3.4424531455453145
9333,2019-05-19 05:24:39+00:00,2.0,3.4936014336716092,1.7468007168358046
9334,2019-05-19 06:24:39+00:00,3.0,6.917875336575998,3.4075411577270316
9335,2019-05-19 07:24:39+00:00,3.0,6.917875336575998,3.4075411577270316
9336,2019-05-19 08:24:39+00:00,3.0,6.917875336575998,3.4075411577270316
9337,2019-05-19 09:24:39+00:00,3.0,6.917875336575998,3.4075411577270316
9338,2019-05-19 10:24:39+00:00,3.0,6.917875336575998,3.4075411577270316
9339,2019-05-19 11:24:39+00:00,2.0,3.5103341788489657,1.7551670894244829
9340,2019-05-19 12:24:39+00:00,2.0,3.5103341788489657,1.7551670894244829
9341,2019-05-19 13:24:39+00:00,2.0,3.5103341788489657,1.7551670894244829
9342,2019-05-19 14:24:39+00:00,2.0,3.5103341788489657,1.7551670894244829
